side,solve_index,outer_iteration,level,name,seconds,trace_elapsed_seconds
pyqcu,1,5,0,fine_matpc,0.002486936,0.891494039
pyqcu,1,5,0,arnoldi,0.001415578,0.893062824
pyqcu,1,5,0,outer_iteration,0.192393119,0.893219333
pyqcu,1,6,0,fine_pre_smoother,0.003227977,0.89646331
pyqcu,1,6,0,fine_restriction,0.003307181,0.899901898
pyqcu,1,6,1,level_prepare,0.003230077,0.903323985
pyqcu,1,6,1,coarsest_bicgstab,0.159382213,1.06291381
pyqcu,1,6,1,level_reconstruct,0.002920759,1.065958077
pyqcu,1,6,1,coarse_vcycle,0.166049078,1.066129186
pyqcu,1,6,0,fine_prolongation,0.002716049,1.068853135
pyqcu,1,6,0,fine_correction_residual,0.002658946,1.071740493
pyqcu,1,6,0,fine_post_smoother,0.00310387,1.075038073
pyqcu,1,6,0,fine_matpc,0.002515838,1.077692118
pyqcu,1,6,0,arnoldi,0.001220566,1.079148098
pyqcu,1,6,0,outer_iteration,0.186043571,1.079274505
pyqcu,1,7,0,fine_pre_smoother,0.003374085,1.08266649
pyqcu,1,7,0,fine_restriction,0.003317381,1.086224385
pyqcu,1,7,1,level_prepare,0.003226676,1.089696274
pyqcu,1,7,1,coarsest_bicgstab,0.158727478,1.248624163
pyqcu,1,7,1,level_reconstruct,0.002902959,1.251654329
pyqcu,1,7,1,coarse_vcycle,0.165355641,1.251819438
pyqcu,1,7,0,fine_prolongation,0.003205175,1.255033014
pyqcu,1,7,0,fine_correction_residual,0.002644645,1.257880769
pyqcu,1,7,0,fine_post_smoother,0.003031065,1.261107846
pyqcu,1,7,0,fine_matpc,0.002477035,1.263779892
pyqcu,1,7,0,arnoldi,0.001374775,1.265332677
pyqcu,1,7,0,outer_iteration,0.186194379,1.265479785
pyqcu,1,8,0,fine_pre_smoother,0.003242377,1.268734863
pyqcu,1,8,0,fine_restriction,0.003321082,1.272330159
pyqcu,1,8,1,level_prepare,0.003190375,1.275765147
pyqcu,1,8,1,coarsest_bicgstab,0.159916043,1.435951505
pyqcu,1,8,1,level_reconstruct,0.002950362,1.439124278
pyqcu,1,8,1,coarse_vcycle,0.166916925,1.439489198
pyqcu,1,8,0,fine_prolongation,0.00274585,1.442246449
pyqcu,1,8,0,fine_correction_residual,0.002689347,1.445163908
pyqcu,1,8,0,fine_post_smoother,0.00310037,1.448479489
pyqcu,1,8,0,fine_matpc,0.002504637,1.451152136
pyqcu,1,8,0,arnoldi,0.001745295,1.453104842
pyqcu,1,8,0,outer_iteration,0.187776266,1.453269351
pyqcu,1,8,0,fgmres_solution_update,0.000655336,1.453939088
pyqcu,1,8,0,true_residual_refresh,0.003189774,1.457322373
pyqcu,1,9,0,fine_pre_smoother,0.003443288,1.461237287
pyqcu,1,9,0,fine_restriction,0.003340583,1.464814782
pyqcu,1,9,1,level_prepare,0.003314581,1.46843318
pyqcu,1,9,1,coarsest_bicgstab,0.189815277,1.658454869
pyqcu,1,9,1,level_reconstruct,0.002912659,1.661490135
pyqcu,1,9,1,coarse_vcycle,0.196583647,1.661685346
pyqcu,1,9,0,fine_prolongation,0.002715348,1.664409094
pyqcu,1,9,0,fine_correction_residual,0.002677246,1.667275451
pyqcu,1,9,0,fine_post_smoother,0.003903413,1.671553285
pyqcu,1,9,0,fine_matpc,0.002529139,1.674108725
pyqcu,1,9,0,arnoldi,0.003633299,1.678094143
pyqcu,1,9,0,outer_iteration,0.220507855,1.678106243
pyqcu,1,10,0,fine_pre_smoother,0.004193329,1.682361676
pyqcu,1,10,0,fine_restriction,0.003521392,1.686559005
pyqcu,1,10,1,level_prepare,0.003554994,1.690968946
pyqcu,1,10,1,coarsest_bicgstab,0.170686331,1.862541326
pyqcu,1,10,1,level_reconstruct,0.003497391,1.866177625
pyqcu,1,10,1,coarse_vcycle,0.179007887,1.866334434
pyqcu,1,10,0,fine_prolongation,0.002720249,1.869063483
pyqcu,1,10,0,fine_correction_residual,0.002677246,1.87194094
pyqcu,1,10,0,fine_post_smoother,0.003061667,1.875161616
pyqcu,1,10,0,fine_matpc,0.00256504,1.877856264
pyqcu,1,10,0,arnoldi,0.001128762,1.879136734
pyqcu,1,10,0,outer_iteration,0.201156397,1.879274741
pyqcu,1,11,0,fine_pre_smoother,0.003189474,1.882479617
pyqcu,1,11,0,fine_restriction,0.003330782,1.885975108
pyqcu,1,11,1,level_prepare,0.003253878,1.889464598
pyqcu,1,11,1,coarsest_bicgstab,0.164745707,2.054422617
pyqcu,1,11,1,level_reconstruct,0.002946362,2.057498085
pyqcu,1,11,1,coarse_vcycle,0.171551979,2.057751599
pyqcu,1,11,0,fine_prolongation,0.002713648,2.060473348
pyqcu,1,11,0,fine_correction_residual,0.002632844,2.063360405
pyqcu,1,11,0,fine_post_smoother,0.00309657,2.066683287
pyqcu,1,11,0,fine_matpc,0.002473535,2.069372434
pyqcu,1,11,0,arnoldi,0.001271869,2.070878616
pyqcu,1,11,0,outer_iteration,0.191728582,2.071015924
pyqcu,1,11,0,fgmres_solution_update,0.000507128,2.071534252
pyqcu,1,11,0,true_residual_refresh,0.003068268,2.074754628
pyqcu,2,1,0,fine_pre_smoother,0.003206174,0.006570658
pyqcu,2,1,0,fine_restriction,0.003340382,0.01009845
pyqcu,2,1,1,level_prepare,0.003777006,0.014072367
pyqcu,2,1,1,coarsest_bicgstab,0.152996442,0.16727862
pyqcu,2,1,1,level_reconstruct,0.00293376,0.170337387
pyqcu,2,1,1,coarse_vcycle,0.160236637,0.170526397
pyqcu,2,1,0,fine_prolongation,0.002719748,0.173254846
pyqcu,2,1,0,fine_correction_residual,0.002631844,0.176116202
pyqcu,2,1,0,fine_post_smoother,0.003052966,0.179405682
pyqcu,2,1,0,fine_matpc,0.002470235,0.182081527
pyqcu,2,1,0,arnoldi,0.000990254,0.183280193
pyqcu,2,1,0,outer_iteration,0.180191225,0.1834165
pyqcu,2,2,0,fine_pre_smoother,0.003640698,0.187070499
pyqcu,2,2,0,fine_restriction,0.00330518,0.190591291
pyqcu,2,2,1,level_prepare,0.003246777,0.194126484
pyqcu,2,2,1,coarsest_bicgstab,0.13645864,0.330815437
pyqcu,2,2,1,level_reconstruct,0.002916459,0.333882504
pyqcu,2,2,1,coarse_vcycle,0.14324271,0.334115917
pyqcu,2,2,0,fine_prolongation,0.002723149,0.336847466
pyqcu,2,2,0,fine_correction_residual,0.002632444,0.33967202
pyqcu,2,2,0,fine_post_smoother,0.003063567,0.342931798
pyqcu,2,2,0,fine_matpc,0.002477735,0.345597943
pyqcu,2,2,0,arnoldi,0.001241468,0.347049122
pyqcu,2,2,0,outer_iteration,0.16378493,0.347213031
pyqcu,2,3,0,fine_pre_smoother,0.003278178,0.350505511
pyqcu,2,3,0,fine_restriction,0.003317981,0.354019302
pyqcu,2,3,1,level_prepare,0.003291279,0.357510993
pyqcu,2,3,1,coarsest_bicgstab,0.136599548,0.494357454
pyqcu,2,3,1,level_reconstruct,0.002909459,0.497384319
pyqcu,2,3,1,coarse_vcycle,0.143365316,0.49757793
pyqcu,2,3,0,fine_prolongation,0.002718548,0.500304978
pyqcu,2,3,0,fine_correction_residual,0.002633344,0.503127532
pyqcu,2,3,0,fine_post_smoother,0.003089469,0.506402811
pyqcu,2,3,0,fine_matpc,0.002472535,0.509066456
pyqcu,2,3,0,arnoldi,0.001383175,0.510672244
pyqcu,2,3,0,outer_iteration,0.163577619,0.510802551
pyqcu,2,4,0,fine_pre_smoother,0.003353583,0.514169134
pyqcu,2,4,0,fine_restriction,0.00330208,0.517674125
pyqcu,2,4,1,level_prepare,0.003235377,0.521114713
pyqcu,2,4,1,coarsest_bicgstab,0.148451594,0.669768718
pyqcu,2,4,1,level_reconstruct,0.00292846,0.672815384
pyqcu,2,4,1,coarse_vcycle,0.155142759,0.673031896
pyqcu,2,4,0,fine_prolongation,0.002723548,0.675765445
pyqcu,2,4,0,fine_correction_residual,0.002633044,0.678583699
pyqcu,2,4,0,fine_post_smoother,0.003080868,0.681835076
pyqcu,2,4,0,fine_matpc,0.002465135,0.68447352
pyqcu,2,4,0,arnoldi,0.001500282,0.686200814
pyqcu,2,4,0,outer_iteration,0.175605375,0.686423426
pyqcu,2,4,0,fgmres_solution_update,0.000674537,0.687109064
pyqcu,2,4,0,true_residual_refresh,0.003538293,0.690849468
pyqcu,2,5,0,fine_pre_smoother,0.003257178,0.694539169
pyqcu,2,5,0,fine_restriction,0.00330658,0.69804496
pyqcu,2,5,1,level_prepare,0.003247977,0.701542351
pyqcu,2,5,1,coarsest_bicgstab,0.153408064,0.855207029
